store_number,merchant_id,new_id,store_name,marketplace_id
341,amzn1.merchant.d.ABAGSE257XXGHHPASZJFM6ZDXZKQ,A3O38J1VRZCXD9,Morrisons - Weston Super Mare,AM7DNVYQULIQ5
404,amzn1.merchant.d.OKO5GFHWYIKCSQ33OLEA3HMJAI,A3KF1VQIMDPU7X,Morrisons - Weybridge,AM7DNVYQULIQ5
77,amzn1.merchant.d.ABLKE5SXSXNSETCL67NBDFGG5BEA,A23J015VQRD4Y7,Morrisons - Winsford,AM7DNVYQULIQ5
511,amzn1.merchant.d.AAP5ZMGS4WQ2TXHJ37SC25UXRMYA,A31JTST84Y6ARG,Morrisons - Wisbech,AM7DNVYQULIQ5
290,amzn1.merchant.d.ABPWHXAIU7IKXRTZQIFEC5IIBZKA,A3BA4KQG25W5FM,Morrisons - Witham,AM7DNVYQULIQ5
367,amzn1.merchant.d.IVBIG7Q6FDLCSIDLP6G6UYFJ3U,A261C0MAVUD2MX,Morrisons - Woking,AM7DNVYQULIQ5
641,amzn1.merchant.d.ACH7OPMXKSJ23Y7GSLU3NGVRXY4A,A1W8E6U65QHVNW,Morrisons - Worthing,AM7DNVYQULIQ5
417,amzn1.merchant.d.ABSI6OBJI77QPRDP4HAT2FVQPDLQ,AQRSHL2Y5EVHT,Morrisons - Wrexham,AM7DNVYQULIQ5
155,amzn1.merchant.d.AAYURGJQN4LWSJLFLV64YB2PE6QQ,AF1HKAFAECT3G,Morrisons - York,AM7DNVYQULIQ5
160,amzn1.merchant.d.ABULHJ2XSWD7MG2PVZV5S3QEZKTA,AR3WRKH0CCY9U,Morrisons - Aberdeen,AM7DNVYQULIQ5
